-14.76,-32.95,-39.55,-10.45,6.06,19.42,-9.49
-14.76,-32.95,-39.55,-10.45,6.06,19.42,-9.49
-14.76,-32.95,-39.55,-10.45,6.06,19.42,-9.49
-14.76,-32.95,-39.55,-10.45,6.06,19.42,-9.49
-14.76,-32.95,-39.55,-10.45,6.06,19.42,-9.49
-14.76,-32.95,-39.55,-10.45,6.06,19.42,-9.49
-14.76,-32.95,-39.55,-10.45,6.06,19.42,-9.49
-14.76,-32.95,-39.55,-10.45,6.06,19.42,-9.49
-14.76,-32.95,-39.55,-10.45,6.06,19.42,-9.49
-14.76,-32.95,-39.55,-10.45,6.06,19.42,-9.49
-14.76,-32.95,-39.55,-10.45,6.06,19.42,-9.49
-14.76,-32.95,-39.55,-10.45,6.06,19.42,-9.49
-14.76,-32.95,-39.55,-10.45,6.06,19.42,-9.49
-14.76,-32.95,-39.55,-10.45,6.06,19.42,-9.49
-14.76,-32.95,-39.55,-10.45,6.06,19.42,-9.49
-14.76,-32.95,-39.55,-10.45,6.06,19.42,-9.49
-14.76,-32.95,-39.55,-10.45,6.06,19.42,-9.49
-15.11,-32.78,-39.63,-10.45,6.06,19.51,-8.96
-16.08,-29.09,-42.45,-14.5,9.14,23.99,-7.91
-16.08,-24.69,-45.43,-22.85,18.63,32.78,-7.91
-16.17,-24.34,-45.17,-35.68,25.66,45.43,-7.91
-16.17,-24.34,-44.56,-49.13,29.0,56.95,-7.91
-16.08,-24.34,-40.6,-59.58,29.09,64.24,-7.91
-16.08,-24.34,-35.5,-65.56,29.44,67.14,-7.91
-16.08,-24.69,-30.14,-67.06,29.44,65.91,-7.91
-16.08,-25.31,-24.16,-64.07,29.09,59.15,-7.91
-15.82,-26.71,-18.45,-55.81,28.03,52.38,-7.91
-13.53,-28.38,-14.67,-45.35,25.75,47.98,-7.91
-10.1,-29.79,-13.53,-37.79,23.46,47.72,-7.91
-5.44,-31.28,-13.44,-34.18,21.0,48.33,-7.91
0.26,-32.34,-13.62,-33.57,16.52,48.42,-7.73
6.5,-32.43,-13.62,-34.36,14.67,46.66,-7.55
12.91,-31.99,-14.15,-37.79,14.67,45.26,-7.55
18.63,-31.55,-16.43,-44.2,14.58,48.77,-7.55
22.23,-31.46,-19.07,-53.34,17.05,56.77,-7.2
22.23,-31.46,-22.76,-63.45,21.35,65.74,-7.2
22.14,-31.46,-26.8,-72.33,25.31,71.89,-7.2
19.86,-31.46,-30.41,-78.13,26.19,74.7,-7.2
16.17,-31.46,-33.92,-79.27,25.66,76.46,-7.2
11.68,-31.46,-36.82,-76.9,24.78,77.16,-7.2
6.94,-31.46,-38.4,-76.28,25.22,77.08,-7.2
2.81,-31.46,-38.93,-75.76,27.68,75.32,-7.2
-1.58,-31.46,-38.93,-75.49,31.99,74.35,-7.2
-5.36,-31.46,-38.84,-75.32,37.17,73.3,-7.2
-9.05,-31.46,-38.84,-76.28,41.57,73.3,-7.2
-12.65,-31.46,-38.84,-76.28,44.12,74.61,-7.2
-15.29,-31.46,-38.84,-76.28,47.81,76.81,-7.2
-15.64,-31.46,-38.84,-76.28,46.75,76.9,-7.38
-15.55,-31.46,-38.84,-75.49,44.64,77.25,-10.1
-15.64,-31.64,-38.84,-74.0,43.33,77.78,-18.1
-15.73,-31.72,-38.84,-73.38,42.18,78.22,-29.7
-15.73,-31.81,-38.93,-72.59,39.11,80.77,-100.45
